name,day
OWEN PL.,Day 2
PARK DR.,Day 2
PARK LN.,Day 5
PARK ST.,Day 4
PARKWAY HEIGHTS,Day 1
PARSON'S AVE.,Day 1
PAYNE'S RD.,Day 1
PEDDLE'S LN.,Day 5
PENNEY'S AVE.,Day 2
PENNEY'S LN.,Day 5
PENWAY ST.,Day 1
PETLEY ST.,Day 1
PETRIES ST.,Day 1
PHILIP DR.,Day 3
PIER RD.,Day 2
PIERCEY'S LN.,Day 5
PIKE'S AVE.,Day 1
PINE ST.,Day 4
PINEGROVE AVE.,Day 4
PINEVILLE ST.,Day 2
PIONEER ST.,Day 4
PITTMAN'S LN.,Day 5
PLEASANT ST.,Day 3
POPLAR RD.,Day 2
PORTER'S LN.,Day 1
POWER'S AVE.,Day 5
PRATT ST.,Day 3
PREMIER DR.,Day 5
PRIMROSE AVE.,Day 5
PRINCE ST.,Day 2
PRINCESS AVE.,Day 5
PURCHASE AVE.,Day 3
QUARRY HILL RD.,Day 2
QUEEN ST.,Day 4
QUIGLEY PL.,Day 1
QUINTON ST.,Day 5
RANDELL'S LN.,Day 5
RANDOLPH PL.,Day 4
RAYMOND HEIGHTS,Day 4
REID ST.,Day 4
REID'S RD.,Day 3
RIVER PARK PL.,Day 5
RIVERHEAD RD.,Day 5
RIVERSIDE DR.,Day 5
RIVERVALE RD.,Day 3
ROAN ST.,Day 2
ROBERT'S LN.,Day 2
ROBERTSON'S RD.,Day 5
ROSE ST.,Day 3
ROSEDALE ST.,Day 2
ROWSELL ST.,Day 3
RUMBOLT'S AVE.,Day 2
SAMM'S RD.,Day 1
SANSPECK RD.,Day 2
SCEVIOUR'S LN.,Day 5
SEAWARD'S AVE.,Day 5
SECOND AVE.,Day 5
SHAMROCK CRES.,Day 3
SHEPPARD'S AVE.,Day 1
SHERWOOD AVE.,Day 5
SILVER ST.,Day 3
SILVER ST. EXT.,Day 3
SMITH'S RD.,Day 5
SNOOK'S LN,Day 1
SNOW ST.,Day 3
SPENCER ST.,Day 5
ST. AIDEN'S RD.,Day 1
ST. CLAIRE AVE.,Day 4
ST. MARK'S AVE.,Day 5
ST. MARY'S RD.,Day 1
STAN DAWE PL.,Day 5
STAR ST.,Day 1
STATION RD.,Day 5
STONE'S RD.,Day 1
STONEHENGE PL.,Day 4
STRATTON'S RD.,Day 2
STUART ST.,Day 3
SUMMIT RD.,Day 2
SUNNYSLOPE DR.,Day 3
TAVENOR'S LN.,Day 2
TESSIER'S LN.,Day 2
THEATRE RD.,Day 5
THIRD AVE.,Day 5
TOWNVIEW RD.,Day 5
TUDOR ST.,Day 3
TUMA AVE.,Day 3
UNION ST.,Day 3
UNIVERSITY DR.,Day 3
VALLEY RD.,Day 3
VALLEYVIEW DR.,Day 1
VERGE PL.,Day 1
VETERAN'S SQUARE,Day 5
VICTORIA ST.,Day 4
VIKING PL.,Day 4
WALBOURNE'S RD. (above O'Connell Dr.),Day 3
WALBOURNE'S RD. (below O'Connell Dr.),Day 2
WALSH ST. (N.L.H.C. units only),Day 4
WALSH ST. (excluding N.L.H.C. units),Day 3
WAREHAM'S RD.,Day 1
WASHINGTON ST.,Day 5
WATER ST.,Day 1
WATSON'S RD.,Day 2
WEBSTER PL.,Day 2
WEIR PL.,Day 1
WELLINGTON ST. (east of Pioneer St.),Day 4
WELLINGTON ST. (west of Pioneer St.),Day 3
WEST AVE.,Day 2
WEST ST.,Day 4
WEST VALLEY RD.,Day 4
WESTMOUNT RD.,Day 3
WESTVIEW AVE.,Day 4
WHEELER'S RD.,Day 3
WILLOW AVE.,Day 4
WILSON DR.,Day 1
WINDSOR ST.,Day 3
WINSTON ST.,Day 3
WOODBINE AVE.,Day 1
WOODCREST AVE.,Day 1
WOODMAN'S RD.,Day 2
WOODROW AVE.,Day 3
YOUNG'S AVE.,Day 1
